,date,account_value
445,2022-11-06,1885135.3156000006
446,2022-11-07,1879774.8156000003
447,2022-11-08,1888856.3156000006
448,2022-11-09,1893845.6156000004
449,2022-11-10,1883699.9156000002
450,2022-11-13,1834692.1156000004
451,2022-11-14,1817000.3156000003
452,2022-11-15,1813063.3156000006
453,2022-11-16,1837437.6156000004
454,2022-11-17,1838044.4156000004
455,2022-11-20,1810931.6156000004
456,2022-11-21,1813533.7156000005
457,2022-11-22,1823106.9156000004
458,2022-11-23,1822192.1156000004
459,2022-11-24,1837039.8156000006
460,2022-11-27,1845184.7156000005
461,2022-11-28,1835935.7156000005
462,2022-11-29,1840894.7156000005
463,2022-11-30,1840323.9156000004
464,2022-12-01,1854415.2156000005
465,2022-12-04,1854853.1156000004
466,2022-12-05,1851929.7156000005
467,2022-12-06,1858608.6156000006
468,2022-12-07,1856815.8156000006
469,2022-12-08,1853252.2156000005
470,2022-12-11,1852803.7156000005
471,2022-12-12,1854059.6156000004
472,2022-12-13,1858356.4156000002
473,2022-12-14,1857907.6156000004
474,2022-12-15,1861156.2156000005
475,2022-12-18,1879992.2156000002
476,2022-12-19,1882425.7156000002
477,2022-12-20,1866085.7156000005
478,2022-12-21,1848714.7156000005
479,2022-12-22,1852868.2156000005
480,2022-12-26,1853110.6156000004
481,2022-12-27,1848083.1156000004
482,2022-12-28,1858852.2156000005
483,2022-12-29,1859139.0156000003
